 Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Discovery Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,Mass Category,Period Category,Distance Category,Radius Category,Star Temp Category,IS Habbitable
Kepler-344c,1.981,0.263,125.597,0.488,1442.00,Transit,2006,3360.000,0.900,5774,None,Giant,Long,Far,Small,Sun-like,0
Kepler-345b,1.981,0.066,7.416,0.066,1442.00,Transit,2006,1180.000,0.590,4504,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-345c,1.981,0.107,9.387,0.077,1442.00,Transit,2006,1180.000,0.590,4504,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-346b,1.981,0.237,6.511,0.071,1442.00,Transit,2006,3300.000,0.970,6033,None,Giant,Ultra Short,Far,Small,Hot,0
Kepler-346c,1.981,0.274,23.852,0.168,1442.00,Transit,2006,3300.000,0.970,6033,None,Giant,Short,Far,Small,Hot,0
Kepler-347b,1.981,0.176,12.798,0.110,1442.00,Transit,2006,4400.000,1.040,6088,None,Giant,Short,Far,Small,Hot,0
Kepler-347c,1.981,0.156,27.321,0.183,1442.00,Transit,2006,4400.000,1.040,6088,None,Giant,Short,Far,Small,Hot,0
Kepler-348b,1.981,0.136,7.057,0.076,1442.00,Transit,2006,1890.000,1.150,6177,None,Giant,Ultra Short,Far,Small,Hot,0
Kepler-348c,1.981,0.119,17.265,0.138,1442.00,Transit,2006,1890.000,1.150,6177,None,Giant,Short,Far,Small,Hot,0
Kepler-349b,1.981,0.170,5.930,0.065,1442.00,Transit,2006,3150.000,0.970,5956,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-349c,1.981,0.175,12.248,0.105,1442.00,Transit,2006,3150.000,0.970,5956,None,Giant,Short,Far,Small,Sun-like,0
Kepler-34b,0.220,0.764,288.822,1.090,1442.00,Transit,2006,4889.000,1.050,5913,None,Medium,Long,Far,Medium,Sun-like,0
Kepler-350b,1.981,0.165,11.190,0.104,1442.00,Transit,2006,3200.000,1.000,6186,None,Giant,Short,Far,Small,Hot,0
Kepler-350c,0.019,0.277,17.849,1442.000,1442.00,Transit,2006,3210.000,1.000,6186,None,Small,Short,Far,Small,Hot,0
Kepler-350d,0.047,0.250,26.136,1442.000,1442.00,Transit,2006,3210.000,1.000,6186,None,Small,Short,Far,Small,Hot,0
Kepler-351b,1.981,0.273,37.055,0.214,1442.00,Transit,2006,3640.000,0.890,5643,None,Giant,Short,Far,Small,Sun-like,0
Kepler-351c,1.981,0.285,57.248,0.287,1442.00,Transit,2006,3640.000,0.890,5643,None,Giant,Short,Far,Small,Sun-like,0
Kepler-351d,1.981,0.243,142.544,1442.000,1442.00,Transit,2006,3640.000,0.890,5643,None,Giant,Long,Far,Small,Sun-like,0
Kepler-352b,1.981,0.077,10.055,0.085,1442.00,Transit,2006,830.000,0.790,5212,None,Giant,Short,Far,Small,Sun-like,0
Kepler-352c,1.981,0.111,16.333,0.118,1442.00,Transit,2006,830.000,0.790,5212,None,Giant,Short,Far,Small,Sun-like,0
Kepler-353b,1.981,0.079,5.795,0.051,1442.00,Transit,2006,1268.000,0.540,3903,None,Giant,Ultra Short,Far,Small,Cool,0
Kepler-353c,1.981,0.123,8.411,0.065,1442.00,Transit,2006,1268.000,0.540,3903,None,Giant,Ultra Short,Far,Small,Cool,0
Kepler-354b,1.981,0.164,5.477,0.054,1442.00,Transit,2006,1830.000,0.650,4648,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-354c,1.981,0.117,16.934,0.115,1442.00,Transit,2006,1830.000,0.650,4648,None,Giant,Short,Far,Small,Sun-like,0
Kepler-354d,1.981,0.111,24.210,0.146,1442.00,Transit,2006,1830.000,0.650,4648,None,Giant,Short,Far,Small,Sun-like,0
Kepler-355b,1.981,0.130,11.032,0.102,1442.00,Transit,2006,4870.000,1.050,6184,None,Giant,Short,Far,Small,Hot,0
Kepler-355c,1.981,0.242,25.762,0.179,1442.00,Transit,2006,4870.000,1.050,6184,None,Giant,Short,Far,Small,Hot,0
Kepler-356b,1.981,0.140,4.613,0.057,1442.00,Transit,2006,2350.000,0.970,6133,None,Giant,Ultra Short,Far,Small,Hot,0
